CustomerID,Gender,Age,Annual Income (Rs.),Spending Score (1-100),Time Spent in Mall (minutes),Visits per Month,Distance from Home (km),Has Credit Card,Preferred Shop Type
1,Male,,199522,65,36,11,23.73,0,Grocery
2,Female,19,380233,21,112,7,17.66,0,Clothing
3,Male,23,548102,27,206,22,,0,Electronics
4,Male,45,157485,70,118,21,42.79,0,Electronics
5,Male,46,262701,44,150,8,1.6,1,Grocery
6,Female,43,357352,100,72,5,30.67,1,Clothing
7,Male,42,334514,28,131,27,18.71,0,Furniture
8,Male,29,595093,45,205,18,21.08,1,Clothing
9,Male,22,,17,139,22,41.69,0,Grocery
10,Female,51,767693,40,118,16,15.84,0,Clothing
11,Male,65,1155535,3,12,14,47.18,0,Clothing
12,Male,54,187019,76,68,12,9.39,0,Clothing
13,Male,32,1112452,,239,17,33.3,1,Furniture
14,Male,61,739421,66,139,5,33.77,1,Grocery
15,Female,53,529747,,45,14,12.98,0,Grocery
16,Male,32,308598,86,44,6,16.58,0,Grocery
17,Female,60,,87,7,15,41.82,1,Electronics
18,Female,65,979827,30,149,7,38.21,1,Electronics
19,Female,40,567247,69,198,14,16.79,0,Grocery
20,Male,23,618758,9,211,18,26.93,0,Clothing
21,Female,63,1105205,85,114,1,3.55,0,Clothing
22,Male,67,524743,11,225,6,10.83,0,Grocery
23,Female,61,175939,69,118,3,24.55,0,Furniture
24,Female,60,1116649,99,116,5,4.76,1,Furniture
25,Female,62,1087828,91,184,12,42.24,1,Clothing
26,Female,38,1352515,66,154,11,36.04,0,Clothing
27,Female,40,936635,88,8,13,47.21,0,Electronics
28,Female,60,1084048,31,138,16,34.83,0,Furniture
29,Female,33,1083403,33,170,18,47.05,0,Clothing
30,Female,64,678036,39,30,17,27.95,1,Clothing
31,Male,32,1017196,94,143,17,30.21,,Grocery
32,Male,42,1350532,46,222,29,48.86,0,Electronics
33,Female,53,1354831,37,21,11,32.29,1,Furniture
34,Female,28,1149074,92,220,20,2.02,0,Furniture
35,Female,68,614462,60,96,10,36.33,0,Electronics
36,Male,32,1044468,31,231,29,45.32,1,Clothing
37,Female,21,824619,11,35,16,39.88,0,Furniture
38,Male,38,1052957,87,209,2,29.4,1,Furniture
39,Male,30,497823,2,167,17,33.73,0,Furniture
40,Male,39,1324405,27,148,22,49.51,0,Grocery
41,Male,36,1326792,99,211,20,4.99,0,Electronics
42,Male,51,325607,2,111,10,33.53,0,Furniture
43,Female,31,559319,21,150,13,14.53,1,Electronics
44,Female,21,502156,58,115,12,32.18,0,Clothing
45,Female,65,424535,5,105,15,30.58,1,Electronics
46,Female,69,1301052,52,116,7,8.1,1,Grocery
47,Female,63,1096405,45,66,27,10.73,0,Grocery
48,Male,44,532865,85,116,22,31.27,1,Electronics
49,Female,46,771825,93,237,21,6.85,0,Grocery
50,Female,64,1067472,20,159,26,13.63,1,Furniture
51,Male,45,331429,61,167,28,41.84,1,Grocery
52,Female,52,971935,38,120,13,16.69,0,Clothing
53,Male,25,1273979,20,177,12,24.66,0,Electronics
54,Female,33,738574,25,39,12,,1,Electronics
55,Male,59,486986,2,32,28,11.74,0,Clothing
56,Female,53,254927,32,107,2,19.79,0,Clothing
57,Female,47,635833,26,129,5,30.52,1,Clothing
58,Male,35,449372,70,106,25,37.89,1,Clothing
59,Male,19,173386,41,141,25,45.13,0,Furniture
60,Male,66,402156,67,208,2,45.82,1,Grocery
61,Male,30,1152252,97,147,23,38.94,0,Grocery
62,,21,999776,1,25,26,11.8,0,Furniture
63,Male,43,1103122,,56,20,1.73,1,Clothing
64,Male,42,619450,5,167,13,19.5,0,Electronics
,Male,47,473258,13,238,29,7.51,1,
66,Female,28,398724,19,101,3,35.66,0,Electronics
67,Female,24,351202,12,55,11,,0,Clothing
68,Male,48,1224101,48,87,16,2.68,0,Furniture
69,Female,61,1278394,25,59,1,41.91,1,Furniture
70,Female,27,264589,57,219,19,12.81,1,Furniture
71,Female,56,1343982,35,81,11,21.9,0,Grocery
72,Female,30,769003,76,131,9,33.56,1,Grocery
73,Male,48,343839,94,176,14,,1,Grocery
74,Female,24,943076,5,197,,22.34,0,Grocery
75,Male,66,513298,98,97,7,3.75,1,Electronics
76,Female,59,656453,22,92,16,20.37,1,Electronics
77,Female,59,1100437,77,84,3,38.36,1,Furniture
78,Female,53,407438,57,157,29,45.8,0,Grocery
79,Male,37,979901,47,219,19,20.97,0,Furniture
80,Female,21,576903,54,96,4,21.47,1,Clothing
81,Male,24,1043041,3,51,7,35.28,0,Grocery
82,Female,18,595872,53,212,23,47.17,1,
